编号,对应资源编号,位置,缩放,角度,预制体UUID
79,2001,"-5,0,-56.28","1,1,1",89.99999999999999,
80,2001,"-5,0,-55.78","1,1,1",89.99999999999999,
81,2002,"-7,0,-56.03","1,1,1",89.99999999999999,
82,2002,"-8.5,0,-56.03","1,1,1",59.99999999999999,
83,2002,"-8.75,0,-56.78","1,1,1",29.999999999999993,
84,2002,"-8.75,0,-58.53","1,1,1",0,
85,2002,"-9.25,0,-58.53","1,1,1",0,
86,2002,"-8.75,0,-60.53","1,1,1",-45.00000000000001,
87,2002,"-7,0,-61.28","1,1,1",89.99999999999999,
88,2002,"-7,0,-60.78","1,1,1",89.99999999999999,
89,2002,"-5.38,0,-61.28","1,1,1",-59.99999999999999,
90,2002,"-4.24,0,-62.03","1,1,1",-29.999999999999993,
91,2002,"-4.6,0,-62.28","1,1,1",-29.999999999999993,
92,2002,"-4,0,-63.53","1,1,1",0,
93,2002,"-3.85,0,-64.85","1,1,1",-29.999999999999993,
94,2002,"-3.5,0,-64.6","1,1,1",-29.999999999999993,
95,2002,"-2.88,0,-65.66","1,1,1",-59.99999999999999,
96,2002,"-1.5,0,-66.28","1,1,1",89.99999999999999,
97,2002,"-1.5,0,-65.78","1,1,1",89.99999999999999,
98,2002,"-0.28,0,-66.41","1,1,1",-59.99999999999999,
99,2002,"0.85,0,-67.21","1,1,1",-29.999999999999993,
100,2002,"0.48,0,-67.41","1,1,1",-29.999999999999993,
101,2002,"0.95,0,-68.53","1,1,1",0,
102,2002,"0.17,0,-70.1","1,1,1",45.00000000000001,
103,2002,"0.47,0,-70.38","1,1,1",45.00000000000001,
104,2002,"-1.5,0,-70.78","1,1,1",89.99999999999999,
105,2002,"-2.75,0,-71.28","1,1,1",89.99999999999999,
106,2003,"-4.25,0,-72.03","1,1,1",0,
107,2003,"-3.75,0,-72.03","1,1,1",0,
108,2003,"-3.75,0,-73.03","1,1,1",0,
109,2003,"-4.25,0,-73.03","1,1,1",0,
110,1002,"0,0,-35.54","1,1,1",0,
111,1002,"0,0,9","1,1,1",0,
112,1002,"0,0,13","1,1,1",0,
113,1002,"0,0,17","1,1,1",0,
114,1002,"0,0,21","1,1,1",0,
