编号,对应资源编号,位置,缩放,旋转X,旋转Y,旋转Z,预制体UUID
70,2002,"-4.91,0,-47.78","1,1,1",0,90,0,
71,2002,"-4.91,0,-47.28","1,1,1",0,90,0,
72,2001,"1.38,0,-60.8","1,1,1",0,90,0,
73,2001,"1.37,0,-61.24","1,1,1",0,90,0,
74,2003,"-4.63,0,-58.75","1,1,1",0,0,0,
75,2003,"-4.14,0,-58.76","1,1,1",0,0,0,
76,2002,"5.25,0,-55.49","1,1,1",0,0,0,
77,2002,"4.75,0,-55.49","1,1,1",0,0,0,
78,2002,"-1.96,0,-55.86","1,1,1",0,90,0,
79,2002,"-1.96,0,-55.24","1,1,1",0,90,0,
80,2001,"-3.47,0,-55.81","1,1,1",0,90,0,
81,2001,"-3.47,0,-55.31","1,1,1",0,90,0,
82,2002,"2.72,0,-56.66","1,1,1",0,0,0,
83,2002,"2.22,0,-56.66","1,1,1",0,0,0,
84,2002,"-5.73,0,-55.22","1,1,1",0,-45,0,
85,2002,"-1.36,0,-61.3","1,1,1",0,90,0,
86,2002,"-1.36,0,-60.8","1,1,1",0,90,0,
87,2002,"-2.62,0,-61.34","1,1,1",0,-118.92,0,
88,2002,"-3.47,0,-62.46","1,1,1",0,33.61,0,
89,2002,"-3.86,0,-62.24","1,1,1",0,33.61,0,
90,2002,"-3.99,0,-64.01","1,1,1",0,-9.39,0,
91,2002,"-3.64,0,-65.23","1,1,1",0,-30,0,
92,2002,"-3.29,0,-64.98","1,1,1",0,-30,0,
93,2002,"-2.58,0,-65.77","1,1,1",0,-60,0,
94,2002,"-1.5,0,-66.29","1,1,1",0,90,0,
95,2002,"-1.5,0,-65.79","1,1,1",0,90,0,
96,2002,"0.07,0,-66.57","1,1,1",0,-60,0,
97,2002,"1.16,0,-67.67","1,1,1",0,-16.8,0,
98,2002,"0.65,0,-67.81","1,1,1",0,-16.8,0,
99,2002,"0.95,0,-69.07","1,1,1",0,12.34,0,
100,2002,"-0.06,0,-70.32","1,1,1",0,45,0,
101,2002,"0.24,0,-70.6","1,1,1",0,45,0,
102,2002,"-1.37,0,-71.06","1,1,1",0,90,0,
103,2002,"-2.95,0,-71.06","1,1,1",0,90,0,
104,2003,"-4.25,0,-72.57","1,1,1",0,0,0,
105,2003,"-3.75,0,-72.57","1,1,1",0,0,0,
106,2001,"-8.28,0,-50.57","1,1,1",0,0,0,
107,2001,"-8.78,0,-49.78","1,1,1",0,0,0,
108,2001,"-0.27,0,-55.81","1,1,1",0,90,0,
109,2001,"-0.28,0,-55.31","1,1,1",0,90,0,
110,2002,"2.22,0,-54.43","1,1,1",0,0,0,
111,2002,"2.72,0,-54.43","1,1,1",0,0,0,
112,2002,"3.73,0,-52.83","1,1,1",0,90,0,
113,2002,"3.73,0,-53.33","1,1,1",0,90,0,
114,2001,"7.21,0,-55.89","1,1,1",0,0,0,
115,2001,"7.71,0,-55.29","1,1,1",0,0,0,
116,2002,"3.73,0,-58.28","1,1,1",0,90,0,
117,2002,"3.73,0,-57.78","1,1,1",0,90,0,
118,2002,"6.08,0,-58.28","1,1,1",0,90,0,
119,2002,"6.08,0,-57.78","1,1,1",0,90,0,
120,2002,"-7.02,0,-47.28","1,1,1",0,90,0,
121,2002,"-7.02,0,-47.78","1,1,1",0,90,0,
122,2002,"-5.72,0,-49.88","1,1,1",0,0,0,
123,2002,"-6.22,0,-49.88","1,1,1",0,0,0,
124,2002,"-5.77,0,-53.79","1,1,1",0,0,0,
125,2002,"-6.27,0,-53.79","1,1,1",0,0,0,
126,2002,"-7.02,0,-52.31","1,1,1",0,90,0,
127,2002,"-7.02,0,-52.81","1,1,1",0,90,0,
128,2002,"-4.92,0,-52.31","1,1,1",0,90,0,
129,2002,"-4.92,0,-52.81","1,1,1",0,90,0,
130,2002,"3.3,0,-60.78","1,1,1",0,90,0,
131,2002,"3.3,0,-61.25","1,1,1",0,90,0,
132,2003,"-5.56,0,-44.79","1,1,1",0,51.4,0,
133,2003,"5.24,0,-59.73","1,1,1",0,0,0,
134,2003,"4.76,0,-59.72","1,1,1",0,0,0,
135,2002,"5.11,0,-46.53","1,1,1",0,167.08,0,
136,2002,"4.63,0,-46.64","1,1,1",0,167.08,0,
137,2002,"1.96,0,-43.38","1,1,1",0,125.07,0,
138,2002,"1.67,0,-43.78","1,1,1",0,125.07,0,
139,1001,"0,0,-39.5","1,1,0.75",0,0,0,
140,1002,"0,0,9","1,1,1",0,0,0,
141,1002,"0,0,13","1,1,1",0,0,0,
142,1002,"0,0,17","1,1,1",0,0,0,
143,1002,"0,0,21","1,1,1",0,0,0,
145,3001,"0,0,10","1,1,1",0,90,0,
146,3001,"0,0,6","1,1,1",0,90,0,
147,3001,"0,0,2","1,1,1",0,90,0,
150,2002,"-0.25,0,11","1,1,1",0,0,0,
151,2002,"0.25,0,11","1,1,1",0,0,0,
152,2002,"-0.25,0,7","1,1,1",0,0,0,
153,2002,"0.25,0,7","1,1,1",0,0,0,
154,2003,"-0.25,0,19","1,1,1",0,0,0,
155,2003,"0.25,0,19","1,1,1",0,0,0,
